time,open,high,low,close,tick_volume,spread,real_volume
2024-07-01 00:00:00+00:00,105.42,105.42,105.41,105.41,3.0,22,0.0
2024-07-01 00:01:00+00:00,105.405,105.405,105.395,105.395,4.0,22,0.0
2024-07-01 00:02:00+00:00,105.39,105.39,105.385,105.39,6.0,22,0.0
2024-07-01 00:04:00+00:00,105.385,105.385,105.385,105.385,3.0,22,0.0
2024-07-01 00:05:00+00:00,105.39,105.39,105.385,105.385,3.0,22,0.0
2024-07-01 00:07:00+00:00,105.395,105.395,105.395,105.395,1.0,22,0.0
2024-07-01 00:10:00+00:00,105.41,105.41,105.405,105.405,43.0,22,0.0
2024-07-01 00:11:00+00:00,105.41,105.41,105.41,105.41,4.0,22,0.0
2024-07-01 00:12:00+00:00,105.415,105.415,105.41,105.41,3.0,22,0.0
2024-07-01 00:14:00+00:00,105.41,105.415,105.41,105.415,12.0,22,0.0
2024-07-01 00:15:00+00:00,105.41,105.41,105.4,105.4,5.0,22,0.0
2024-07-01 00:16:00+00:00,105.395,105.395,105.39,105.39,10.0,22,0.0
2024-07-01 00:17:00+00:00,105.39,105.39,105.39,105.39,1.0,22,0.0
2024-07-01 00:18:00+00:00,105.385,105.385,105.385,105.385,2.0,22,0.0
2024-07-01 00:21:00+00:00,105.38,105.38,105.37,105.37,5.0,22,0.0
2024-07-01 00:22:00+00:00,105.365,105.365,105.35,105.35,8.0,22,0.0
2024-07-01 00:23:00+00:00,105.34,105.34,105.34,105.34,2.0,22,0.0
2024-07-01 00:24:00+00:00,105.34,105.34,105.34,105.34,1.0,22,0.0
2024-07-01 00:25:00+00:00,105.335,105.335,105.335,105.335,1.0,22,0.0
2024-07-01 00:27:00+00:00,105.335,105.335,105.33,105.33,10.0,22,0.0
2024-07-01 00:28:00+00:00,105.34,105.34,105.34,105.34,2.0,22,0.0
2024-07-01 00:29:00+00:00,105.365,105.365,105.365,105.365,2.0,22,0.0
2024-07-01 00:30:00+00:00,105.365,105.365,105.365,105.365,6.0,22,0.0
2024-07-01 00:31:00+00:00,105.36,105.36,105.355,105.36,8.0,22,0.0
2024-07-01 00:33:00+00:00,105.355,105.36,105.355,105.36,5.0,22,0.0
2024-07-01 00:35:00+00:00,105.36,105.36,105.36,105.36,2.0,22,0.0
2024-07-01 00:37:00+00:00,105.35,105.35,105.335,105.335,4.0,22,0.0
2024-07-01 00:38:00+00:00,105.33,105.33,105.33,105.33,1.0,22,0.0
2024-07-01 00:40:00+00:00,105.325,105.325,105.325,105.325,3.0,22,0.0
2024-07-01 00:41:00+00:00,105.335,105.335,105.335,105.335,3.0,22,0.0
2024-07-01 00:43:00+00:00,105.325,105.325,105.325,105.325,1.0,22,0.0
2024-07-01 00:46:00+00:00,105.345,105.345,105.345,105.345,4.0,22,0.0
2024-07-01 00:47:00+00:00,105.355,105.36,105.35,105.36,19.0,22,0.0
2024-07-01 00:48:00+00:00,105.36,105.365,105.36,105.365,16.0,22,0.0
2024-07-01 00:50:00+00:00,105.365,105.365,105.365,105.365,2.0,22,0.0
2024-07-01 00:52:00+00:00,105.36,105.36,105.36,105.36,1.0,22,0.0
2024-07-01 00:53:00+00:00,105.365,105.37,105.365,105.37,3.0,22,0.0
2024-07-01 00:54:00+00:00,105.37,105.375,105.37,105.375,21.0,22,0.0
2024-07-01 00:55:00+00:00,105.38,105.39,105.38,105.39,11.0,22,0.0
2024-07-01 00:57:00+00:00,105.385,105.385,105.385,105.385,2.0,22,0.0
2024-07-01 00:59:00+00:00,105.36,105.36,105.355,105.355,3.0,22,0.0
2024-07-01 01:00:00+00:00,105.365,105.37,105.365,105.37,2.0,22,0.0
2024-07-01 01:01:00+00:00,105.375,105.375,105.375,105.375,1.0,22,0.0
2024-07-01 01:02:00+00:00,105.375,105.375,105.37,105.37,2.0,22,0.0
